,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,review_score
612,Germany,Tablet,Social Media,Debit Card,Toys,164,1,28.69,32.78,2,0.3,223.3,4,0,0,0,3.7
613,Belgium,Mobile,Direct,Klarna,Electronics,427,2,30.4,46.92,1,0.02,317.7,3,0,0,0,4.6
614,Netherlands,Mobile,Marketplace,PayPal,Garden,382,1,41.23,52.69,1,0.29,248.3,2,0,0,0,4.9
615,Netherlands,Mobile,Direct,PayPal,Electronics,345,5,69.04,307.92,2,0.04,703.3,3,0,0,0,3.4
616,Netherlands,Desktop,Marketplace,Debit Card,Fashion,744,4,59.58,109.58,1,0.13,1094.9,6,1,0,0,2.6
617,Netherlands,Desktop,Paid Ads,Credit Card,Toys,297,1,62.34,23.15,1,0.19,123.7,2,0,0,0,5.0
618,Netherlands,Mobile,Paid Ads,Debit Card,Garden,139,0,36.61,34.52,4,0.04,93.7,3,0,0,1,4.6
619,Belgium,Mobile,Organic Search,Bank Transfer,Fashion,628,1,71.35,60.82,3,0.13,379.7,5,0,0,0,4.6
620,Netherlands,Mobile,Paid Ads,Credit Card,Electronics,506,2,119.41,201.29,1,0.03,946.4,3,0,0,0,4.7
621,Poland,Desktop,Organic Search,Bank Transfer,Sports,284,0,31.75,27.79,2,0.25,1049.7,4,1,0,0,5.0
622,Germany,Mobile,Direct,Credit Card,Garden,401,2,50.48,60.73,2,0.06,298.4,2,0,0,0,3.8
623,Poland,Desktop,Social Media,Debit Card,Fashion,780,1,53.23,17.32,1,0.21,885.8,3,0,0,0,4.5
624,Netherlands,Tablet,Paid Ads,Credit Card,Fashion,104,0,37.02,23.24,8,0.24,939.9,5,0,0,0,5.0
625,Netherlands,Tablet,Social Media,Credit Card,Fashion,371,2,43.05,74.03,4,0.23,342.1,4,0,0,0,4.9
626,France,Mobile,Social Media,Klarna,Toys,112,0,112.47,88.06,1,0.19,969.1,6,1,1,0,3.9
627,Netherlands,Desktop,Direct,Credit Card,Garden,279,2,72.5,66.92,2,0.07,324.1,5,0,0,0,5.0
628,Netherlands,Desktop,Marketplace,PayPal,Pet Supplies,64,0,58.45,42.65,5,0.1,96.6,4,0,0,0,2.7
629,Turkey,Mobile,Organic Search,PayPal,Fashion,245,0,62.79,108.65,4,0.28,345.8,5,0,0,0,3.1
630,Netherlands,Mobile,Social Media,PayPal,Electronics,342,0,84.64,214.66,2,0.07,397.1,4,0,0,0,4.7
631,Netherlands,Mobile,Marketplace,Klarna,Toys,28,1,16.69,11.16,5,0.15,110.8,3,0,0,0,5.0
632,Poland,Mobile,Paid Ads,Credit Card,Garden,145,1,69.12,98.26,5,0.28,553.8,4,0,0,0,5.0
633,Netherlands,Mobile,Email,Credit Card,Garden,475,4,25.85,19.1,1,0.04,169.2,1,0,0,0,4.9
634,Germany,Desktop,Organic Search,Debit Card,Garden,393,0,26.97,25.78,8,0.43,556.1,4,0,1,0,4.1
635,Belgium,Mobile,Paid Ads,Credit Card,Home & Kitchen,526,1,22.1,25.47,2,0.17,1395.2,5,0,0,0,3.8
636,Netherlands,Desktop,Social Media,Gift Card,Toys,45,0,23.57,16.28,1,0.08,81.9,1,0,1,0,4.7
637,Italy,Tablet,Organic Search,PayPal,Home & Kitchen,213,4,48.74,48.12,1,0.13,265.5,2,0,0,0,4.4
638,France,Desktop,Paid Ads,PayPal,Fashion,793,4,113.36,129.1,1,0.08,849.4,6,1,0,0,3.2
639,Turkey,Mobile,Direct,Credit Card,Home & Kitchen,767,3,34.91,36.98,1,0.28,349.8,3,0,0,0,5.0
640,Germany,Mobile,Organic Search,Credit Card,Toys,199,0,55.69,73.94,1,0.21,127.6,2,0,0,0,5.0
641,Turkey,Desktop,Email,PayPal,Electronics,1051,6,42.27,114.73,1,0.43,572.7,5,0,0,0,3.8
642,Netherlands,Mobile,Social Media,Debit Card,Electronics,269,2,57.25,152.69,4,0.31,786.5,4,0,0,0,5.0
643,Netherlands,Desktop,Organic Search,Klarna,Electronics,330,2,42.67,64.4,3,0.07,261.4,1,0,0,0,4.9
644,Netherlands,Desktop,Organic Search,Klarna,Electronics,569,4,44.53,56.92,2,0.3,197.5,3,0,0,0,5.0
645,Germany,Mobile,Direct,Debit Card,Home & Kitchen,542,7,54.46,81.29,6,0.13,13.6,2,0,0,0,5.0
646,Germany,Mobile,Paid Ads,Debit Card,Beauty,247,0,54.88,30.11,1,0.17,547.8,4,0,0,0,4.2
647,Germany,Mobile,Social Media,Debit Card,Electronics,325,4,76.3,59.16,3,0.22,267.5,5,0,0,0,5.0
648,France,Mobile,Email,Debit Card,Beauty,48,1,23.62,33.39,1,0.49,337.9,5,0,0,0,5.0
650,Netherlands,Desktop,Direct,Debit Card,Fashion,735,3,143.29,86.06,2,0.07,523.8,3,0,0,0,4.6
651,Germany,Mobile,Social Media,PayPal,Fashion,343,3,36.85,27.75,2,0.27,625.7,4,0,0,0,4.4
652,Germany,Mobile,Email,PayPal,Electronics,308,2,34.46,45.39,1,0.05,148.1,3,0,0,0,4.2
653,Spain,Mobile,Paid Ads,PayPal,Home & Kitchen,179,1,68.58,67.97,1,0.1,827.4,4,0,0,0,4.7
654,Netherlands,Mobile,Social Media,Credit Card,Electronics,352,3,23.15,56.78,2,0.29,649.8,5,0,0,0,5.0
655,Belgium,Mobile,Organic Search,Bank Transfer,Sports,135,1,24.09,40.57,1,0.1,34.5,4,0,0,0,4.4
656,Spain,Mobile,Paid Ads,Credit Card,Electronics,296,3,57.46,70.38,1,0.2,1037.9,3,0,0,0,4.4
657,Poland,Tablet,Marketplace,Credit Card,Garden,66,1,26.64,20.46,2,0.09,1151.0,4,0,0,0,4.6
658,Spain,Mobile,Social Media,Gift Card,Home & Kitchen,46,0,27.89,36.56,2,0.07,511.4,3,0,0,0,4.1
659,Netherlands,Mobile,Paid Ads,Gift Card,Home & Kitchen,214,2,111.79,93.99,2,0.1,103.9,4,0,0,0,4.4
660,Belgium,Mobile,Direct,Gift Card,Toys,27,0,27.99,18.92,1,0.14,471.4,5,0,1,1,3.5
661,Netherlands,Desktop,Social Media,Credit Card,Toys,539,3,48.26,109.38,2,0.02,251.1,3,0,0,0,3.8
662,Netherlands,Desktop,Social Media,Klarna,Fashion,538,3,29.33,23.07,1,0.02,828.0,4,0,0,0,5.0
663,France,Mobile,Marketplace,PayPal,Sports,590,2,116.16,144.07,3,0.08,275.7,4,0,0,0,4.6
664,Belgium,Desktop,Paid Ads,Debit Card,Garden,491,7,19.67,46.65,8,0.08,30.4,3,0,0,0,4.3
665,Netherlands,Desktop,Paid Ads,PayPal,Toys,595,4,47.55,73.21,1,0.01,996.5,5,0,0,0,4.0
666,Germany,Desktop,Social Media,Credit Card,Toys,142,1,138.26,116.79,1,0.25,1017.0,5,0,0,0,2.9
667,Italy,Mobile,Email,Credit Card,Beauty,283,1,92.02,72.53,1,0.05,10.3,5,0,0,0,5.0
668,Turkey,Desktop,Organic Search,Debit Card,Electronics,132,0,46.72,37.0,2,0.07,610.1,5,0,0,0,5.0
669,Turkey,Mobile,Social Media,Debit Card,Toys,64,0,51.46,45.11,4,0.15,593.8,5,0,0,0,4.8
670,Spain,Mobile,Organic Search,Klarna,Pet Supplies,241,1,116.8,70.24,2,0.14,51.5,4,0,1,0,4.9
671,Belgium,Mobile,Direct,PayPal,Sports,215,1,29.18,31.88,3,0.06,203.0,4,0,0,0,4.3
672,Italy,Desktop,Direct,Credit Card,Sports,360,1,21.23,34.62,1,0.03,193.4,3,0,0,0,4.4
673,Poland,Desktop,Social Media,PayPal,Electronics,323,3,55.28,137.55,2,0.06,1597.5,6,1,0,0,3.5
674,Italy,Mobile,Social Media,Debit Card,Home & Kitchen,555,2,30.86,27.35,3,0.08,354.1,3,0,0,0,4.2
675,Belgium,Desktop,Organic Search,Debit Card,Electronics,325,1,12.61,15.05,3,0.12,620.1,5,0,0,0,5.0
676,Turkey,Mobile,Marketplace,Klarna,Electronics,116,2,27.88,69.01,1,0.27,49.2,3,0,0,0,4.1
677,Germany,Mobile,Direct,Debit Card,Home & Kitchen,603,5,63.04,99.4,3,0.05,407.8,4,0,0,0,4.3
678,Belgium,Mobile,Paid Ads,PayPal,Toys,270,3,76.4,81.67,2,0.01,208.3,4,0,0,0,4.6
679,Germany,Desktop,Organic Search,Debit Card,Fashion,750,4,23.12,20.12,1,0.01,724.9,5,0,0,0,3.9
680,Germany,Desktop,Organic Search,Debit Card,Sports,132,0,59.58,100.55,3,0.08,73.7,4,0,0,1,4.7
681,Netherlands,Desktop,Paid Ads,Credit Card,Home & Kitchen,138,1,25.49,21.81,5,0.02,574.2,4,0,0,0,4.4
682,Netherlands,Mobile,Organic Search,PayPal,Garden,899,3,57.12,76.56,1,0.08,159.8,4,0,0,0,5.0
683,Poland,Desktop,Marketplace,Debit Card,Toys,96,0,72.25,49.58,3,0.47,653.5,4,0,0,0,4.2
684,Belgium,Desktop,Organic Search,Gift Card,Home & Kitchen,178,1,35.4,83.16,2,0.57,1238.4,5,0,0,0,3.2
685,France,Mobile,Direct,Debit Card,Toys,302,1,23.3,9.61,2,0.22,1132.6,5,0,0,0,4.4
686,Belgium,Mobile,Paid Ads,PayPal,Pet Supplies,573,3,26.72,10.74,3,0.17,1040.6,5,0,1,0,4.8
687,Belgium,Mobile,Organic Search,PayPal,Electronics,300,2,63.37,61.73,1,0.05,1051.5,6,1,0,0,4.4
688,Belgium,Mobile,Paid Ads,Credit Card,Pet Supplies,464,2,106.52,97.67,1,0.03,289.6,4,0,0,0,4.6
689,Netherlands,Mobile,Paid Ads,Gift Card,Electronics,43,0,37.32,65.58,2,0.14,1173.5,5,0,0,1,5.0
690,Belgium,Mobile,Social Media,Credit Card,Garden,169,0,41.52,20.81,1,0.16,1231.8,4,0,0,0,4.3
691,Spain,Desktop,Organic Search,Klarna,Electronics,49,0,73.18,117.28,1,0.04,886.1,5,0,0,0,5.0
692,France,Mobile,Paid Ads,Debit Card,Toys,130,2,41.42,26.07,5,0.28,15.4,2,0,0,0,5.0
693,Netherlands,Tablet,Marketplace,Credit Card,Pet Supplies,351,1,16.01,5.77,2,0.09,303.1,4,0,0,0,4.6
694,France,Tablet,Paid Ads,Debit Card,Electronics,118,0,31.91,125.4,1,0.17,508.3,3,0,0,0,3.3
695,Belgium,Desktop,Email,Credit Card,Garden,540,5,43.11,32.63,2,0.02,110.2,5,0,0,0,4.4
696,France,Desktop,Organic Search,Credit Card,Toys,346,3,77.55,43.35,1,0.34,191.5,4,0,0,0,4.6
697,Netherlands,Mobile,Paid Ads,Credit Card,Home & Kitchen,419,1,58.51,55.7,5,0.12,442.1,4,0,0,0,3.7
698,Netherlands,Desktop,Social Media,Debit Card,Home & Kitchen,204,1,28.99,47.03,1,0.02,673.6,4,0,0,0,4.7
699,Turkey,Mobile,Social Media,Credit Card,Electronics,219,0,34.15,80.76,1,0.03,952.1,5,0,0,0,5.0
700,Belgium,Desktop,Organic Search,Debit Card,Home & Kitchen,1074,6,65.17,108.95,5,0.3,489.3,4,0,0,0,4.3
701,France,Mobile,Paid Ads,PayPal,Beauty,241,1,34.12,26.21,1,0.15,189.4,2,0,0,0,4.9
702,Poland,Desktop,Social Media,Credit Card,Pet Supplies,286,3,29.52,51.27,1,0.06,440.4,4,0,0,0,5.0
703,Netherlands,Mobile,Organic Search,PayPal,Sports,315,0,27.89,31.49,1,0.09,329.6,2,0,0,0,4.5
704,Turkey,Desktop,Social Media,Klarna,Beauty,722,8,76.91,57.62,1,0.06,895.0,6,0,0,0,4.6
705,Netherlands,Mobile,Organic Search,Credit Card,Fashion,479,3,49.29,36.1,6,0.1,317.7,5,0,0,0,4.1
706,Belgium,Mobile,Paid Ads,PayPal,Fashion,386,1,62.34,62.17,5,0.22,767.5,4,0,0,0,5.0
707,France,Mobile,Direct,Credit Card,Fashion,112,1,13.53,15.8,1,0.08,577.6,3,0,0,0,4.8
708,France,Mobile,Organic Search,Debit Card,Pet Supplies,513,2,55.2,27.53,1,0.31,146.9,4,0,0,0,4.2
710,Netherlands,Mobile,Organic Search,PayPal,Home & Kitchen,317,1,48.65,29.58,2,0.3,508.1,4,0,0,0,4.9
711,Turkey,Desktop,Organic Search,Debit Card,Beauty,662,5,50.69,58.99,1,0.19,180.3,4,0,0,0,4.3
712,Germany,Mobile,Direct,Bank Transfer,Fashion,213,1,51.33,29.85,2,0.1,1076.1,4,0,0,0,4.9
714,Netherlands,Desktop,Email,Klarna,Beauty,168,1,37.72,38.53,2,0.14,601.7,5,0,0,0,4.6
715,Netherlands,Desktop,Paid Ads,Debit Card,Home & Kitchen,434,2,17.38,29.1,6,0.05,350.1,5,0,0,0,4.4
716,Netherlands,Mobile,Organic Search,Debit Card,Beauty,1384,9,86.58,66.6,2,0.16,670.5,2,0,0,0,5.0
717,Belgium,Mobile,Email,Credit Card,Beauty,119,1,28.24,38.26,1,0.02,412.3,5,0,0,0,4.1
718,Germany,Mobile,Marketplace,Debit Card,Home & Kitchen,747,4,52.48,76.84,3,0.1,166.3,2,0,0,0,4.2
719,Netherlands,Mobile,Organic Search,Debit Card,Home & Kitchen,158,1,26.82,31.07,2,0.26,339.5,4,0,0,0,4.8
720,Italy,Mobile,Paid Ads,PayPal,Fashion,423,5,26.31,25.04,1,0.33,322.5,3,0,0,0,4.8
721,Spain,Desktop,Paid Ads,Credit Card,Toys,380,0,29.65,11.86,5,0.46,254.5,3,0,0,0,4.8
722,France,Tablet,Social Media,Debit Card,Pet Supplies,542,1,78.67,78.3,2,0.09,623.6,3,0,0,0,4.0
723,Belgium,Desktop,Paid Ads,Bank Transfer,Toys,136,0,40.07,24.98,1,0.12,1049.1,6,1,0,1,2.9
724,Belgium,Desktop,Direct,Credit Card,Pet Supplies,97,1,65.01,37.09,1,0.32,553.3,7,0,0,0,4.3
725,Netherlands,Mobile,Organic Search,Bank Transfer,Toys,58,1,25.96,13.49,1,0.11,652.3,6,0,0,0,4.3
726,Netherlands,Mobile,Paid Ads,Bank Transfer,Sports,263,4,61.25,98.67,1,0.18,688.6,5,0,0,0,3.1
727,Netherlands,Mobile,Marketplace,Bank Transfer,Home & Kitchen,495,1,92.72,127.85,3,0.3,7.5,3,0,0,0,4.4
728,Italy,Tablet,Social Media,Klarna,Garden,435,3,39.51,51.8,3,0.08,1103.8,6,1,0,0,3.1
729,Belgium,Mobile,Email,Gift Card,Electronics,411,4,33.24,55.09,4,0.03,131.6,5,0,1,0,4.6
730,Netherlands,Mobile,Social Media,Debit Card,Fashion,428,1,69.89,117.65,3,0.17,396.6,5,0,0,0,4.0
731,Turkey,Mobile,Organic Search,Credit Card,Home & Kitchen,179,2,61.54,39.69,1,0.06,861.0,4,0,0,0,4.0
732,Belgium,Mobile,Organic Search,Credit Card,Home & Kitchen,128,2,48.72,76.76,1,0.11,255.8,3,0,0,0,2.9
733,Italy,Mobile,Direct,Debit Card,Pet Supplies,461,6,58.73,46.76,2,0.05,695.9,3,0,0,0,3.8
734,Germany,Desktop,Email,Credit Card,Fashion,166,1,19.13,8.52,2,0.06,281.1,4,0,0,0,4.4
735,Poland,Desktop,Direct,Credit Card,Fashion,168,1,28.9,23.91,3,0.09,363.7,3,0,0,0,3.6
736,Turkey,Mobile,Organic Search,Debit Card,Toys,1058,5,47.36,24.93,2,0.11,502.1,4,0,1,0,4.0
737,Netherlands,Mobile,Paid Ads,PayPal,Sports,111,2,25.82,40.72,1,0.02,405.2,4,0,0,0,5.0
738,Turkey,Mobile,Social Media,Debit Card,Fashion,132,1,23.98,16.9,2,0.08,693.1,4,0,0,0,5.0
739,Belgium,Mobile,Social Media,PayPal,Home & Kitchen,767,3,67.58,155.24,8,0.34,203.1,3,0,0,0,4.6
740,Netherlands,Mobile,Direct,Klarna,Home & Kitchen,129,0,59.2,105.38,2,0.32,604.1,5,0,0,0,3.8
741,Netherlands,Desktop,Email,Credit Card,Home & Kitchen,272,3,23.99,19.99,1,0.29,444.8,4,0,0,0,4.5
742,Belgium,Desktop,Organic Search,PayPal,Home & Kitchen,118,1,47.48,135.04,1,0.16,579.7,4,0,0,0,5.0
743,Italy,Mobile,Paid Ads,Credit Card,Beauty,68,0,46.08,21.81,4,0.03,137.2,5,0,0,0,4.7
744,Italy,Mobile,Social Media,Credit Card,Sports,225,1,65.0,147.57,3,0.11,442.2,4,0,0,0,3.4
745,Netherlands,Desktop,Organic Search,Gift Card,Sports,118,1,53.29,59.88,6,0.06,1147.3,6,1,0,0,3.9
746,France,Mobile,Marketplace,Credit Card,Home & Kitchen,791,5,43.54,42.17,1,0.08,381.5,3,0,1,0,4.6
747,Belgium,Mobile,Paid Ads,Bank Transfer,Home & Kitchen,402,4,80.7,79.85,2,0.0,155.3,3,0,0,0,4.5
748,Poland,Mobile,Direct,Credit Card,Electronics,412,5,24.65,94.54,1,0.21,601.6,4,0,0,0,4.4
749,France,Desktop,Marketplace,Credit Card,Electronics,526,0,55.08,151.44,2,0.16,809.1,5,0,0,0,4.5
750,France,Desktop,Social Media,Credit Card,Garden,87,1,36.24,49.58,4,0.26,443.6,4,0,0,0,5.0
752,Spain,Mobile,Social Media,Credit Card,Garden,1401,7,32.73,21.45,3,0.14,172.1,4,0,0,0,4.1
753,Netherlands,Mobile,Direct,Debit Card,Sports,401,1,32.37,46.7,6,0.01,1083.0,5,0,0,0,5.0
754,Germany,Tablet,Organic Search,PayPal,Home & Kitchen,74,0,39.32,78.03,1,0.09,1153.7,6,1,0,0,3.4
755,Turkey,Desktop,Marketplace,Klarna,Pet Supplies,321,1,33.7,43.86,1,0.05,509.7,4,0,0,0,5.0
756,Netherlands,Mobile,Organic Search,Gift Card,Electronics,496,3,28.04,61.0,7,0.16,739.8,4,0,0,0,5.0
757,Netherlands,Mobile,Social Media,PayPal,Garden,142,1,32.79,61.94,1,0.35,113.2,4,0,0,0,4.6
758,Netherlands,Desktop,Marketplace,Klarna,Fashion,827,5,90.79,82.16,2,0.09,2286.3,8,1,0,0,2.8
759,Italy,Mobile,Marketplace,Credit Card,Beauty,287,3,30.99,36.03,3,0.04,588.4,5,0,0,0,4.6
760,Belgium,Desktop,Organic Search,PayPal,Home & Kitchen,56,1,27.89,49.7,1,0.02,133.9,1,0,0,0,4.7
761,Germany,Mobile,Paid Ads,Klarna,Toys,164,0,49.72,31.0,1,0.16,253.3,4,0,0,0,4.3
762,Germany,Desktop,Social Media,PayPal,Electronics,123,1,39.48,75.05,4,0.4,252.4,4,0,0,0,4.4
763,Germany,Mobile,Organic Search,PayPal,Fashion,961,4,131.09,131.27,1,0.26,749.7,5,0,0,0,4.6
764,Belgium,Mobile,Social Media,Klarna,Electronics,246,2,20.19,32.22,1,0.29,456.8,4,0,0,0,3.9
765,Italy,Mobile,Organic Search,Debit Card,Home & Kitchen,461,1,39.68,72.91,1,0.13,874.6,4,0,0,0,4.3
766,Poland,Desktop,Paid Ads,Credit Card,Garden,573,4,106.01,155.33,2,0.49,441.7,4,0,0,0,4.8
767,Spain,Mobile,Email,PayPal,Toys,299,5,19.49,21.9,1,0.13,332.7,4,0,0,0,4.8
768,Netherlands,Mobile,Email,PayPal,Garden,200,1,130.04,307.32,1,0.06,450.9,3,0,0,0,4.2
769,Italy,Mobile,Organic Search,Klarna,Home & Kitchen,182,1,66.14,89.74,3,0.0,769.9,3,0,0,0,4.1
770,Germany,Mobile,Organic Search,Credit Card,Toys,776,6,36.63,12.23,2,0.11,163.8,4,0,0,0,4.4
771,France,Mobile,Paid Ads,PayPal,Sports,891,5,17.94,21.87,3,0.17,227.9,3,0,0,0,5.0
772,Turkey,Desktop,Email,PayPal,Home & Kitchen,28,0,47.34,78.86,2,0.06,704.1,4,0,0,0,3.7
773,France,Mobile,Social Media,Klarna,Fashion,853,5,29.08,22.46,1,0.07,744.5,3,0,0,0,4.7
774,Netherlands,Tablet,Organic Search,PayPal,Fashion,350,3,36.01,49.7,1,0.03,337.0,4,0,0,0,3.9
776,Belgium,Mobile,Email,Debit Card,Fashion,957,1,26.3,29.92,1,0.36,1160.9,5,0,0,1,3.5
777,France,Desktop,Marketplace,Credit Card,Fashion,549,3,96.84,101.51,1,0.07,107.1,3,0,0,0,5.0
778,Germany,Mobile,Organic Search,Debit Card,Garden,170,0,25.04,24.47,6,0.06,345.3,4,0,0,0,5.0
779,France,Desktop,Paid Ads,Bank Transfer,Electronics,133,1,28.21,36.03,1,0.21,1117.2,4,0,0,0,2.7
780,France,Desktop,Organic Search,Credit Card,Garden,225,2,56.6,40.43,3,0.42,481.2,5,0,0,0,4.4
781,Turkey,Tablet,Social Media,Credit Card,Toys,466,2,15.99,14.87,2,0.11,107.5,4,0,0,0,4.1
782,Germany,Mobile,Marketplace,PayPal,Sports,214,2,29.24,20.23,2,0.04,367.6,5,0,0,0,5.0
784,Italy,Mobile,Direct,Credit Card,Toys,223,1,73.68,50.42,1,0.28,648.5,4,0,1,0,3.7
785,Italy,Mobile,Organic Search,Credit Card,Toys,244,1,155.49,260.89,1,0.33,244.4,1,0,0,0,4.3
786,Netherlands,Mobile,Marketplace,Credit Card,Garden,664,5,42.38,144.83,4,0.54,284.0,5,0,0,0,4.6
787,Poland,Desktop,Direct,Credit Card,Fashion,182,0,42.22,34.01,2,0.3,156.1,3,0,0,0,5.0
788,Netherlands,Tablet,Marketplace,Klarna,Pet Supplies,160,0,27.22,17.15,3,0.1,93.2,2,0,1,0,4.0
789,Poland,Desktop,Organic Search,Klarna,Home & Kitchen,369,2,89.01,38.74,1,0.36,147.9,2,0,0,0,5.0
790,Netherlands,Desktop,Organic Search,Debit Card,Garden,270,2,30.96,40.28,1,0.12,386.6,5,0,0,0,4.5
791,France,Mobile,Marketplace,Credit Card,Electronics,501,2,59.97,105.41,2,0.12,554.1,4,0,0,0,4.7
792,Italy,Mobile,Social Media,Debit Card,Electronics,465,2,17.79,18.57,1,0.03,126.4,3,0,1,0,4.5
793,Germany,Mobile,Marketplace,PayPal,Sports,444,3,21.11,57.83,2,0.09,750.5,5,0,0,0,4.8
794,Netherlands,Mobile,Paid Ads,Debit Card,Fashion,626,1,22.7,27.73,1,0.11,787.2,4,0,0,0,4.5
795,Netherlands,Tablet,Social Media,Credit Card,Electronics,179,1,62.2,111.28,1,0.05,237.1,3,0,0,0,3.7
796,Spain,Mobile,Paid Ads,Klarna,Electronics,276,0,31.5,81.64,3,0.32,664.7,4,0,0,0,3.4
797,Italy,Mobile,Paid Ads,Debit Card,Sports,341,5,55.1,58.94,2,0.26,388.1,3,0,0,0,5.0
798,Netherlands,Mobile,Social Media,Credit Card,Pet Supplies,302,3,25.03,28.02,1,0.01,214.4,2,0,0,0,5.0
799,Germany,Desktop,Organic Search,Gift Card,Beauty,111,1,86.44,65.56,1,0.07,781.9,3,0,0,0,5.0
800,Turkey,Mobile,Direct,PayPal,Beauty,322,1,19.55,15.94,4,0.09,831.6,5,0,0,0,3.9
801,Turkey,Tablet,Paid Ads,Credit Card,Home & Kitchen,526,6,33.78,37.9,7,0.28,343.6,4,0,0,0,3.9
802,Poland,Mobile,Organic Search,PayPal,Beauty,227,1,23.16,17.51,2,0.19,2043.7,6,1,0,0,4.2
803,Netherlands,Mobile,Paid Ads,Credit Card,Home & Kitchen,183,1,49.16,39.05,5,0.18,882.2,4,0,0,0,4.4
804,Spain,Desktop,Organic Search,Klarna,Beauty,807,4,26.06,19.05,1,0.0,536.9,4,0,0,0,4.9
805,Netherlands,Mobile,Social Media,Credit Card,Home & Kitchen,517,4,36.53,97.27,1,0.38,116.0,1,0,0,0,3.7
806,France,Mobile,Email,Klarna,Electronics,116,1,18.25,52.55,1,0.25,913.6,6,1,0,0,2.3
807,Netherlands,Mobile,Direct,PayPal,Home & Kitchen,763,2,28.92,57.54,1,0.17,95.9,3,0,0,0,4.7
808,Belgium,Mobile,Paid Ads,Debit Card,Toys,164,3,45.75,72.78,1,0.3,264.1,3,0,0,0,4.6
809,Netherlands,Mobile,Organic Search,Bank Transfer,Fashion,281,2,31.95,18.74,1,0.03,208.1,4,0,0,0,4.9
810,Netherlands,Mobile,Social Media,Klarna,Beauty,600,2,51.28,14.57,1,0.43,112.7,2,0,0,0,5.0
811,France,Mobile,Social Media,Debit Card,Fashion,92,0,40.62,20.11,8,0.21,399.5,2,0,0,0,4.2
812,Poland,Desktop,Marketplace,Debit Card,Electronics,591,2,41.13,58.94,2,0.2,512.8,4,0,0,0,4.5
813,Poland,Mobile,Direct,Credit Card,Fashion,169,1,105.4,62.22,4,0.12,1399.9,6,1,0,0,3.9
814,Netherlands,Mobile,Direct,PayPal,Garden,630,2,46.56,65.43,2,0.05,243.7,2,0,0,0,4.0
815,Belgium,Mobile,Direct,Credit Card,Electronics,537,5,19.45,41.16,1,0.26,1383.7,5,0,0,0,4.7
816,Germany,Mobile,Organic Search,Debit Card,Garden,566,3,42.69,19.66,1,0.01,333.6,4,0,0,0,2.9
817,France,Desktop,Direct,PayPal,Home & Kitchen,204,3,26.43,58.29,2,0.02,295.6,3,0,0,0,4.2
818,Netherlands,Desktop,Paid Ads,Credit Card,Pet Supplies,675,5,88.44,49.06,1,0.13,214.8,4,0,0,0,3.7
819,Poland,Mobile,Organic Search,Credit Card,Electronics,457,4,59.08,98.69,3,0.08,376.1,3,0,0,0,3.5
820,Belgium,Mobile,Paid Ads,Debit Card,Electronics,462,1,60.1,119.76,6,0.02,94.5,5,0,0,0,4.3
821,Germany,Mobile,Social Media,PayPal,Beauty,692,6,18.74,15.12,2,0.33,291.3,4,0,0,0,4.8
822,France,Mobile,Direct,Credit Card,Electronics,119,0,31.29,66.71,2,0.02,210.8,2,0,0,0,4.2
824,France,Tablet,Direct,Credit Card,Toys,357,2,36.35,16.55,1,0.26,490.4,4,0,0,0,4.9
825,Belgium,Tablet,Organic Search,Credit Card,Sports,315,2,65.22,63.86,6,0.09,759.0,4,0,0,0,4.3
826,Belgium,Mobile,Organic Search,Credit Card,Home & Kitchen,1199,5,34.01,55.05,1,0.08,403.1,5,0,0,0,3.2
827,Belgium,Mobile,Marketplace,Credit Card,Fashion,325,3,54.78,85.47,1,0.29,882.1,4,0,0,0,5.0
828,Poland,Mobile,Social Media,Bank Transfer,Electronics,405,0,35.06,77.96,3,0.09,190.2,4,0,0,0,4.2
829,Belgium,Mobile,Direct,Debit Card,Electronics,129,2,25.6,92.57,2,0.07,778.0,4,0,0,0,5.0
830,Germany,Mobile,Organic Search,Credit Card,Fashion,58,0,88.17,169.54,1,0.11,150.4,3,0,0,0,4.5
831,Netherlands,Mobile,Email,Credit Card,Electronics,421,1,39.03,185.5,1,0.27,600.1,6,1,0,0,3.0
832,Netherlands,Mobile,Paid Ads,Debit Card,Home & Kitchen,98,1,27.62,34.67,1,0.11,769.3,3,0,0,0,3.7
833,France,Mobile,Organic Search,Klarna,Electronics,595,3,31.33,56.76,1,0.15,1488.2,5,0,0,0,4.6
834,Belgium,Mobile,Organic Search,Klarna,Fashion,528,2,53.09,45.81,2,0.11,523.5,4,0,0,0,4.3
835,Belgium,Mobile,Direct,Debit Card,Fashion,538,2,25.04,20.75,1,0.31,403.3,4,0,0,0,5.0
836,Netherlands,Desktop,Organic Search,PayPal,Pet Supplies,298,3,37.41,35.04,2,0.1,623.1,3,0,0,0,4.2
837,Belgium,Mobile,Marketplace,Credit Card,Electronics,1083,10,33.31,36.63,6,0.23,201.2,4,0,0,0,4.5
839,Italy,Mobile,Paid Ads,Debit Card,Fashion,211,1,97.1,122.44,1,0.01,807.4,3,0,0,0,2.6
840,Spain,Mobile,Direct,Klarna,Beauty,369,1,38.94,20.31,5,0.31,545.7,4,0,0,0,4.4
